Nama Tugas,Estimasi (jam),Progress ,Deadline,Kategori,Tipe Beban
mengajar,1.5,100%,9/10/2025,Non-Akademik,Sesi
mengajar,2,100%,9/10/2025,Non-Akademik,Sesi
Persiapan ICWSDGs,6,100%,9/10/2025,Non-Akademik,Dicicil
Persiapan ICWSDGs,9,100%,10/10/2025,Non-Akademik,Dicicil
ICWSDGs,9,100%,11/10/2025,Non-Akademik,Sesi
ICWSDGs,9,100%,12/10/2025,Non-Akademik,Sesi
mengajar,1.5,100%,14/10/2025,Non-Akademik,Sesi
mengajar,2,100%,14/10/2025,Non-Akademik,Sesi
Ujian Tengah Semester Pancasila,1,100%,16/10/2025,Akademik,Dicicil
Tugas VisDat 2,12,100%,16/10/2025,Akademik,Dicicil
Tugas Kelompok LSV 2,2,100%,19/10/2025,Akademik,Dicicil
Tugas Kelompok LSV 3,6,100%,19/10/2025,Akademik,Dicicil
Tugas Individu Kecerdasan Bisnis 4,1,100%,23/10/2025,Akademik,Dicicil
Ujian Tengah Semester Kecerdasan Bisnis ,20,100%,23/10/2025,Akademik,Dicicil
Tugas Pancasila 7,0.3,100%,23/10/2025,Akademik,Dicicil
Ujian Tengah Semester MPTI ,40,100%,26/10/2025,Akademik,Dicicil
mengajar,2,100%,26/10/2025,Non-Akademik,Sesi
Tugas Pancasila 8,0.3,100%,30/10/2025,Akademik,Dicicil
Ujian Tengah Semester VisDat,24,100%,30/10/2025,Akademik,Dicicil
mengajar,2,100%,31/10/2025,Non-Akademik,Sesi
mengajar,1.5,100%,1/11/2025,Non-Akademik,Sesi
mengajar,1,100%,1/11/2025,Non-Akademik,Sesi
mengajar,1,100%,1/11/2025,Non-Akademik,Sesi
mengajar,1,100%,1/11/2025,Non-Akademik,Sesi
mengajar,2,100%,2/11/2025,Non-Akademik,Sesi
mengajar,1,100%,2/11/2025,Non-Akademik,Sesi
mengajar,1,100%,2/11/2025,Non-Akademik,Sesi
mengajar,1,100%,2/11/2025,Non-Akademik,Sesi
mengajar,1,100%,2/11/2025,Non-Akademik,Sesi
Ujian Tengah Semester LSV ,8,100%,3/11/2025,Akademik,Dicicil
mengajar,1.5,100%,4/11/2025,Non-Akademik,Sesi
mengajar,1,100%,4/11/2025,Non-Akademik,Sesi
mengajar,1,100%,4/11/2025,Non-Akademik,Sesi
mengajar,1,100%,5/11/2025,Non-Akademik,Sesi
mengajar,1,100%,5/11/2025,Non-Akademik,Sesi
Tugas Pancasila 9,0.3,100%,6/11/2025,Akademik,Dicicil
mengajar,1.5,100%,6/11/2025,Non-Akademik,Sesi
mengajar,0.63,100%,6/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,6/11/2025,Non-Akademik,Sesi
mengajar,0.3,100%,6/11/2025,Non-Akademik,Sesi
mengajar,1,100%,7/11/2025,Non-Akademik,Sesi
mengajar,2,100%,7/11/2025,Non-Akademik,Sesi
mengajar,1,100%,8/11/2025,Non-Akademik,Sesi
mengajar,1,100%,8/11/2025,Non-Akademik,Sesi
mengajar,1,100%,8/11/2025,Non-Akademik,Sesi
mengajar,2,100%,9/11/2025,Non-Akademik,Sesi
mengajar,1,100%,9/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,9/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,10/11/2025,Non-Akademik,Sesi
mengajar,1,100%,11/11/2025,Non-Akademik,Sesi
mengajar,1,100%,11/11/2025,Non-Akademik,Sesi
mengajar,1,100%,11/11/2025,Non-Akademik,Sesi
Tugas Pancasila 10,0.3,100%,13/11/2025,Akademik,Dicicil
mengajar,1,100%,14/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,15/11/2025,Non-Akademik,Sesi
mengajar,1.5,100%,15/11/2025,Non-Akademik,Sesi
mengajar,1,100%,15/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,15/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,15/11/2025,Non-Akademik,Sesi
mengajar,0.5,100%,15/11/2025,Non-Akademik,Sesi
